recno,Name,RAJ2000,DEJ2000,z,logsigma,e_logsigma,logLXbol
75,"HCG 33",77.69958333333332,18.03472222222222,0.026,2.24,0.13,41.77
76,"Abell 539",79.14625,6.453888888888888,0.028,2.92,0.04,44.27
77,"Abell 3360",85.07833333333332,-43.39194444444444,0.085,2.92,0.05,44.32
78,"Abell 548",86.75708333333333,-25.616388888888885,0.042,2.93,0.03,44.42
79,"Abell 3376",90.18166666666666,-40.05,0.046,2.86,0.04,44.67
80,"Abell 3389",95.44749999999999,-64.95972222222221,0.027,2.77,0.04,43.68
81,"Abell 3391",96.56416666666665,-53.6811111111111,0.051,2.9,0.04,44.7
82,"Abell 3395",96.87958333333331,-54.399444444444434,0.051,2.92,0.02,44.77
83,"Abell 569",107.29333333333332,48.61944444444444,0.02,2.51,0.09,43.48
84,"Abell 576",110.35041666666665,55.73888888888888,0.039,2.98,0.04,44.43
85,"Abell 578",111.25541666666665,66.98527777777777,0.087,2.9,0.13,44.78
86,"NGC 2276GRP",115.77291666666665,85.37499999999999,0.006,2.4,0.13,43.65
87,"NGC 2563GRP",125.10166666666665,21.096111111111107,0.016,2.53,0.13,42.79
88,"Abell 671",127.12208333333332,30.41694444444444,0.05,3.0,0.13,44.32
89,"Abell 665",127.68833333333332,65.88194444444443,0.182,3.08,0.13,45.62
90,"NRGB 004",129.54791666666665,25.116666666666664,0.029,2.19,0.05,43.54
91,"ZWCL 0839.9+2937",130.73541666666665,29.466388888888886,0.194,2.87,0.06,44.96
92,"HCG 35",131.33124999999998,44.52166666666666,0.054,2.54,0.13,42.35
93,"Abell 744",136.82333333333332,16.66472222222222,0.073,2.91,0.07,44.27
94,"Abell 754",137.20874999999998,-9.636666666666665,0.054,3.03,0.1,45.36
95,"Abell 750",137.27791666666664,11.03,0.18,3.28,0.03,45.3
96,"HCG 37",138.3983333333333,30.01416666666666,0.022,2.65,0.06,42.12
97,"NRGS 027",139.0258333333333,17.60222222222222,0.029,2.59,0.06,43.22
98,"A779",139.95,33.75888888888888,0.023,2.57,0.04,43.29
99,"NRGS 038",140.89583333333331,22.332777777777775,0.031,2.79,0.04,43.07
100,"N45-384",141.9658333333333,30.03194444444444,0.027,2.38,0.13,42.45
101,"NRGB 045",143.36291666666665,34.05055555555555,0.027,1.85,0.11,42.71
102,"Abell 851",145.73583333333332,46.98944444444444,0.407,3.03,0.08,45.21
103,"HCG 42",150.0545833333333,-19.639999999999997,0.013,2.32,0.13,42.2
104,"NRGS 076",151.67416666666665,14.430277777777777,0.03,2.51,0.04,42.94
105,"ZWCL 1006.1+1201",152.1933333333333,11.787777777777777,0.221,2.96,0.05,44.96
106,"MS 1008.1-1224",152.64208333333332,-12.663333333333332,0.301,3.02,0.04,44.96
107,"NRGB 078",153.47291666666663,38.739999999999995,0.023,2.53,0.05,42.76
108,"Abell 957",153.48874999999998,-0.9149999999999999,0.044,2.82,0.05,44.26
109,"Abell 963",154.29,39.01666666666666,0.206,3.04,0.14,45.35
110,"NGC 3258GRP",155.88666666666666,-34.758333333333326,0.01,2.6,0.13,43.24
111,"HYDRACLUSTER",159.21374999999998,-27.526388888888885,0.013,2.79,0.03,43.91
112,"HCG 48",159.43999999999997,-27.080555555555552,0.009,2.55,0.13,41.58
113,"Abell 1069",159.97624999999996,-8.61111111111111,0.065,2.56,0.11,44.33
114,"SS2B 153",162.61208333333332,-12.840555555555554,0.015,2.31,0.13,43.05
115,"MS 1054.4-0321",164.2508333333333,-3.624166666666666,0.823,3.07,0.06,45.3
116,"A1142",165.2120833333333,10.554722222222221,0.035,2.7,0.05,43.35
117,"Abell 1146",165.3358333333333,-22.718888888888884,0.142,3.01,0.04,44.82
118,"A1185",167.6308333333333,28.727499999999996,0.033,2.82,0.03,43.58
119,"Abell 1213",169.12124999999997,29.260277777777773,0.047,2.74,0.12,43.77
120,"NGC 3607GRP",169.48291666666665,18.126388888888886,0.004,2.62,0.13,41.59
121,"HCG 51",170.58999999999997,24.32805555555555,0.028,2.73,0.12,42.99
122,"SS2B 164",170.67916666666665,-7.748333333333332,0.024,2.56,0.05,42.93
123,"NGC 3665GRP",170.87749999999997,38.72527777777777,0.007,1.46,0.13,41.36
124,"Abell 1300",173.00291666666664,-19.892777777777773,0.307,3.08,0.13,45.68
125,"Abell 1291",173.01833333333332,56.023888888888884,0.053,2.96,0.13,44.13
126,"Abell 1314",173.70291666666665,49.040277777777774,0.034,2.82,0.09,43.76
127,"HCG 57",174.46041666666665,21.984999999999996,0.03,2.54,0.04,41.98
128,"HCG 58",175.53916666666663,10.274999999999999,0.021,2.41,0.13,42.64
129,"A1367",176.1858333333333,19.69972222222222,0.022,2.87,0.03,44.15
130,"Abell 1377",176.74124999999998,55.73888888888888,0.051,2.69,0.13,43.96
131,"NGC 4065GRP",181.0395833333333,20.221666666666664,0.024,2.62,0.04,42.99
132,"NGC 4073GRP",181.09041666666664,1.838611111111111,0.02,2.78,0.13,43.7
133,"N79-299",181.4633333333333,20.53861111111111,0.023,2.62,0.07,42.76
134,"NRGB 184",182.00416666666663,25.25361111111111,0.023,2.54,0.09,42.9
135,"Abell 1507",183.9595833333333,59.972222222222214,0.06,2.37,0.13,43.73
136,"NGC 4261GRP",185.0095833333333,5.339999999999999,0.007,2.67,0.13,42.32
137,"NGC 4325GRP",185.82583333333332,10.621944444444443,0.025,2.41,0.13,43.35
138,"Virgo cluster",186.63374999999996,12.723333333333331,0.004,2.83,0.03,44.18
139,"MS 1224.7+2007",186.8120833333333,19.851666666666663,0.327,2.9,0.05,44.91
140,"MS 1231.3+1542",188.4683333333333,15.426111111111108,0.238,2.82,0.04,44.74
141,"N79-284",188.99416666666664,26.92472222222222,0.025,2.78,0.13,42.2
142,"NGC 4636GRP",190.73833333333332,2.5261111111111108,0.004,2.67,0.13,42.48
143,"Centauruscluste",192.2158333333333,-41.305833333333325,0.011,2.77,0.03,44.18
144,"SS2B 187",192.64208333333332,-14.437499999999998,0.014,2.39,0.09,42.6
145,"A1631",193.2108333333333,-15.426944444444443,0.015,2.65,0.12,43.12
146,"NGC 4761GRP",193.24124999999998,-9.15722222222222,0.015,2.56,0.05,43.16
147,"Abell 3528",193.5758333333333,-29.021111111111107,0.053,2.99,0.04,43.69
148,"Abell 1644",194.31166666666664,-17.35361111111111,0.047,2.88,0.03,44.85
149,"Abell 3532",194.32999999999998,-30.370277777777773,0.055,2.87,0.06,44.74
150,"Abell 1651",194.84541666666664,-4.186111111111111,0.084,2.98,0.06,45.27
